num,abk,gname,latin
1,ad,Admiral,Vanessa Atalanta
2,ap,Apollo,Parnassius Apollo
3,af,Aurora,Anthocharis Cardamines
4,bl,Blaeuling,Lycaenidae
5,cf,C-Falter,Polygonia C-album
6,df,Distelfalter,Vanessa Cardui
7,po,Postilion,Colias Myrmidone
8,km,Kaisermantel,Argynnis Paphia
9,kf,kleiner Fuchs,Aglais Urticae
10,kw,Kohlweissling,Pieris Rapae
11,oa,Ochsenauge,Maniola Jurtina
12,sb,Schachbrett,Melanargia Galathea
13,sf,Schillerfalter,Apatura Iris
14,ss,Schwalbenschwanz,Papilio Machaon
15,sfa,Segelfalter,Iphiclides Podalirius
16,tf,Tagfauenauge,Inachis Io
17,tm,Trauermantel,Nymphalis Antiopa
18,zf,Zitronenfalter,Gonepteryx Rhamni
19,ol,Osterluzeifalter,Zerynthia Polyxena
20,dfa,Dukatenfalter,Lycaena Virgaureae
