index,operator
0,TRANSPOSE
1,PAD
2,CONV_2D
3,LOGISTIC
4,MUL
5,CONV_2D
6,LOGISTIC
7,MUL
8,DEPTHWISE_CONV_2D
9,LOGISTIC
10,MUL
11,CONV_2D
12,CONV_2D
13,LOGISTIC
14,MUL
15,DEPTHWISE_CONV_2D
16,LOGISTIC
17,MUL
18,CONV_2D
19,ADD
20,CONV_2D
21,LOGISTIC
22,MUL
23,DEPTHWISE_CONV_2D
24,LOGISTIC
25,MUL
26,CONV_2D
27,ADD
28,CONV_2D
29,LOGISTIC
30,MUL
31,DEPTHWISE_CONV_2D
32,LOGISTIC
33,MUL
34,CONV_2D
35,ADD
36,CONV_2D
37,LOGISTIC
38,MUL
39,DEPTHWISE_CONV_2D
40,LOGISTIC
41,MUL
42,CONV_2D
43,ADD
44,CONV_2D
45,LOGISTIC
46,MUL
47,DEPTHWISE_CONV_2D
48,LOGISTIC
49,MUL
50,CONV_2D
51,ADD
52,CONV_2D
53,LOGISTIC
54,MUL
55,DEPTHWISE_CONV_2D
56,LOGISTIC
57,MUL
58,CONV_2D
59,ADD
60,CONV_2D
61,LOGISTIC
62,MUL
63,DEPTHWISE_CONV_2D
64,LOGISTIC
65,MUL
66,CONV_2D
67,ADD
68,ADD
69,CONV_2D
70,LOGISTIC
71,MUL
72,PAD
73,DEPTHWISE_CONV_2D
74,LOGISTIC
75,MUL
76,CONV_2D
77,CONV_2D
78,LOGISTIC
79,MUL
80,PAD
81,DEPTHWISE_CONV_2D
82,LOGISTIC
83,MUL
84,CONV_2D
85,ADD
86,CONV_2D
87,LOGISTIC
88,MUL
89,PAD
90,DEPTHWISE_CONV_2D
91,LOGISTIC
92,MUL
93,CONV_2D
94,ADD
95,CONV_2D
96,LOGISTIC
97,MUL
98,PAD
99,DEPTHWISE_CONV_2D
100,LOGISTIC
101,MUL
102,CONV_2D
103,ADD
104,CONV_2D
105,LOGISTIC
106,MUL
107,DEPTHWISE_CONV_2D
108,LOGISTIC
109,MUL
110,CONV_2D
111,ADD
112,CONV_2D
113,LOGISTIC
114,MUL
115,DEPTHWISE_CONV_2D
116,LOGISTIC
117,MUL
118,CONV_2D
119,ADD
120,CONV_2D
121,LOGISTIC
122,MUL
123,PAD
124,DEPTHWISE_CONV_2D
125,LOGISTIC
126,MUL
127,CONV_2D
128,CONV_2D
129,LOGISTIC
130,MUL
131,PAD
132,DEPTHWISE_CONV_2D
133,LOGISTIC
134,MUL
135,CONV_2D
136,ADD
137,CONV_2D
138,LOGISTIC
139,MUL
140,PAD
141,DEPTHWISE_CONV_2D
142,LOGISTIC
143,MUL
144,CONV_2D
145,ADD
146,CONV_2D
147,LOGISTIC
148,MUL
149,PAD
150,DEPTHWISE_CONV_2D
151,LOGISTIC
152,MUL
153,CONV_2D
154,ADD
155,CONV_2D
156,LOGISTIC
157,MUL
158,CONV_2D
159,TRANSPOSE
160,RESHAPE
161,TRANSPOSE
162,RESHAPE
163,TRANSPOSE
164,RESHAPE
165,RESHAPE
166,MEAN
167,RESHAPE
168,SQUARED_DIFFERENCE
169,MEAN
170,ADD
171,RSQRT
172,MUL
173,SUB
174,RESHAPE
175,MUL
176,RESHAPE
177,ADD
178,FULLY_CONNECTED
179,RESHAPE
180,TRANSPOSE
181,FULLY_CONNECTED
182,RESHAPE
183,FULLY_CONNECTED
184,RESHAPE
185,TRANSPOSE
186,TRANSPOSE
187,RESHAPE
188,RESHAPE
189,BATCH_MATMUL
190,MUL
191,RESHAPE
192,SOFTMAX
193,RESHAPE
194,RESHAPE
195,BATCH_MATMUL
196,RESHAPE
197,TRANSPOSE
198,RESHAPE
199,FULLY_CONNECTED
200,ADD
201,RESHAPE
202,MEAN
203,RESHAPE
204,SQUARED_DIFFERENCE
205,MEAN
206,ADD
207,RSQRT
208,MUL
209,SUB
210,RESHAPE
211,MUL
212,RESHAPE
213,ADD
214,FULLY_CONNECTED
215,RESHAPE
216,LOGISTIC
217,MUL
218,FULLY_CONNECTED
219,ADD
220,RESHAPE
221,MEAN
222,RESHAPE
223,SQUARED_DIFFERENCE
224,MEAN
225,ADD
226,RSQRT
227,MUL
228,SUB
229,RESHAPE
230,MUL
231,RESHAPE
232,ADD
233,FULLY_CONNECTED
234,RESHAPE
235,TRANSPOSE
236,FULLY_CONNECTED
237,RESHAPE
238,FULLY_CONNECTED
239,RESHAPE
240,TRANSPOSE
241,TRANSPOSE
242,RESHAPE
243,RESHAPE
244,BATCH_MATMUL
245,MUL
246,RESHAPE
247,SOFTMAX
248,RESHAPE
249,RESHAPE
250,BATCH_MATMUL
251,RESHAPE
252,TRANSPOSE
253,RESHAPE
254,FULLY_CONNECTED
255,ADD
256,RESHAPE
257,MEAN
258,RESHAPE
