contrast,reference,comparison,reference_accuracy,comparison_accuracy,comparison_minus_g8_4_4_pp,correct_predictions_delta
remove_block_1,g8_4_4,b2_g4_b5_g4,0.8966049382716049,0.7283950617283951,-16.820987654320984,-109
remove_block_2,g8_4_4,b1_g8_b5_g4,0.8966049382716049,0.22685185185185186,-66.9753086419753,-434
remove_block_5,g8_4_4,b1_g8_b2_g4,0.8966049382716049,0.6635802469135802,-23.302469135802472,-151
reduce_block_1_groups_8_to_4,g8_4_4,g4_4_4,0.8966049382716049,0.8981481481481481,0.15432098765432167,1
reduce_block_2_groups_4_to_2,g8_4_4,g8_2_4,0.8966049382716049,0.8950617283950617,-0.15432098765432167,-1
increase_block_2_groups_4_to_8,g8_4_4,g8_8_4,0.8966049382716049,0.8935185185185185,-0.30864197530864335,-2
reduce_block_5_groups_4_to_2,g8_4_4,g8_4_2,0.8966049382716049,0.8950617283950617,-0.15432098765432167,-1
increase_block_5_groups_4_to_8,g8_4_4,g8_4_8,0.8966049382716049,0.9012345679012346,0.462962962962965,3
increase_all_selected_blocks_to_8_groups,g8_4_4,g8_8_8,0.8966049382716049,0.8873456790123457,-0.9259259259259189,-6
add_block_3_g4,g8_4_4,g8_4_4_b3_g4,0.8966049382716049,0.9552469135802469,5.864197530864201,38
add_block_7_g8,g8_4_4,g8_4_4_b7_g8,0.8966049382716049,0.9012345679012346,0.462962962962965,3
