configuration,block,group,channel,estimated_effective_levels
Original,1,1,0,45
Original,1,1,1,3
Original,1,1,2,30
Original,1,1,3,6
Original,1,1,4,5
Original,1,1,5,4
Original,1,1,6,6
Original,1,1,7,2
Original,1,1,8,8
Original,1,1,9,5
Original,1,1,10,98
Original,1,1,11,6
Original,1,1,12,256
Original,1,1,13,7
Original,1,1,14,62
Original,1,1,15,88
Original,1,1,16,13
Original,1,1,17,2
Original,1,1,18,12
Original,1,1,19,17
Original,1,1,20,40
Original,1,1,21,4
Original,1,1,22,49
Original,1,1,23,71
Original,1,1,24,2
Original,1,1,25,8
Original,1,1,26,28
Original,1,1,27,66
Original,1,1,28,2
Original,1,1,29,124
Original,1,1,30,3
Original,1,1,31,1
Original,2,1,0,3
Original,2,1,1,31
Original,2,1,2,3
Original,2,1,3,8
Original,2,1,4,256
Original,2,1,5,3
Original,2,1,6,150
Original,2,1,7,12
Original,2,1,8,197
Original,2,1,9,1
Original,2,1,10,3
Original,2,1,11,1
Original,2,1,12,26
Original,2,1,13,3
Original,2,1,14,2
Original,2,1,15,17
Original,2,1,16,13
Original,2,1,17,4
Original,2,1,18,86
Original,2,1,19,210
Original,2,1,20,140
Original,2,1,21,185
Original,2,1,22,72
Original,2,1,23,50
Original,2,1,24,2
Original,2,1,25,2
Original,2,1,26,30
Original,2,1,27,4
Original,2,1,28,1
Original,2,1,29,1
Original,2,1,30,210
Original,2,1,31,3
Original,3,1,0,3
Original,3,1,1,146
Original,3,1,2,5
Original,3,1,3,177
Original,3,1,4,12
Original,3,1,5,7
Original,3,1,6,8
Original,3,1,7,9
Original,3,1,8,5
Original,3,1,9,3
Original,3,1,10,8
Original,3,1,11,66
Original,3,1,12,13
Original,3,1,13,12
Original,3,1,14,6
Original,3,1,15,2
Original,3,1,16,3
Original,3,1,17,4
Original,3,1,18,34
Original,3,1,19,3
Original,3,1,20,9
Original,3,1,21,256
Original,3,1,22,9
Original,3,1,23,3
Original,3,1,24,4
Original,3,1,25,2
Original,3,1,26,5
Original,3,1,27,6
Original,3,1,28,46
Original,3,1,29,7
Original,3,1,30,8
Original,3,1,31,8
Original,3,1,32,4
Original,3,1,33,2
Original,3,1,34,4
Original,3,1,35,2
Original,3,1,36,23
Original,3,1,37,3
Original,3,1,38,2
Original,3,1,39,3
Original,3,1,40,4
Original,3,1,41,6
Original,3,1,42,3
Original,3,1,43,7
Original,3,1,44,3
Original,3,1,45,10
Original,3,1,46,5
Original,3,1,47,6
Original,4,1,0,61
Original,4,1,1,4
Original,4,1,2,160
Original,4,1,3,19
Original,4,1,4,94
Original,4,1,5,62
Original,4,1,6,11
Original,4,1,7,28
Original,4,1,8,20
Original,4,1,9,35
Original,4,1,10,34
Original,4,1,11,61
Original,4,1,12,8
Original,4,1,13,3
Original,4,1,14,43
Original,4,1,15,19
Original,4,1,16,17
Original,4,1,17,80
Original,4,1,18,163
Original,4,1,19,106
Original,4,1,20,255
Original,4,1,21,11
Original,4,1,22,8
Original,4,1,23,28
Original,4,1,24,4
Original,4,1,25,41
Original,4,1,26,44
Original,4,1,27,9
Original,4,1,28,13
Original,4,1,29,18
Original,4,1,30,90
Original,4,1,31,120
Original,4,1,32,16
Original,4,1,33,150
Original,4,1,34,162
Original,4,1,35,30
Original,4,1,36,48
Original,4,1,37,80
Original,4,1,38,11
Original,4,1,39,48
Original,4,1,40,15
Original,4,1,41,43
Original,4,1,42,53
Original,4,1,43,40
Original,4,1,44,50
Original,4,1,45,64
Original,4,1,46,24
Original,4,1,47,12
Original,5,1,0,2
Original,5,1,1,46
Original,5,1,2,6
Original,5,1,3,2
Original,5,1,4,2
Original,5,1,5,2
Original,5,1,6,31
Original,5,1,7,3
Original,5,1,8,11
Original,5,1,9,2
Original,5,1,10,32
Original,5,1,11,1
Original,5,1,12,4
Original,5,1,13,1
Original,5,1,14,1
Original,5,1,15,9
Original,5,1,16,8
Original,5,1,17,4
Original,5,1,18,10
Original,5,1,19,45
Original,5,1,20,41
Original,5,1,21,5
Original,5,1,22,5
Original,5,1,23,39
Original,5,1,24,13
Original,5,1,25,2
Original,5,1,26,18
Original,5,1,27,19
Original,5,1,28,3
Original,5,1,29,41
Original,5,1,30,6
Original,5,1,31,17
Original,5,1,32,8
Original,5,1,33,11
Original,5,1,34,256
Original,5,1,35,1
Original,5,1,36,6
Original,5,1,37,26
Original,5,1,38,18
Original,5,1,39,40
Original,5,1,40,15
Original,5,1,41,2
Original,5,1,42,11
Original,5,1,43,49
Original,5,1,44,6
Original,5,1,45,25
Original,5,1,46,16
Original,5,1,47,5
Original,6,1,0,5
Original,6,1,1,8
Original,6,1,2,4
Original,6,1,3,24
Original,6,1,4,25
Original,6,1,5,24
Original,6,1,6,56
Original,6,1,7,104
Original,6,1,8,39
Original,6,1,9,48
Original,6,1,10,44
Original,6,1,11,50
Original,6,1,12,58
Original,6,1,13,69
Original,6,1,14,43
Original,6,1,15,11
Original,6,1,16,30
Original,6,1,17,5
Original,6,1,18,95
Original,6,1,19,3
Original,6,1,20,58
Original,6,1,21,28
Original,6,1,22,67
Original,6,1,23,11
Original,6,1,24,255
Original,6,1,25,134
Original,6,1,26,63
Original,6,1,27,56
Original,6,1,28,18
Original,6,1,29,60
Original,6,1,30,43
Original,6,1,31,34
Original,6,1,32,103
Original,6,1,33,111
Original,6,1,34,10
Original,6,1,35,26
Original,6,1,36,50
Original,6,1,37,5
Original,6,1,38,59
Original,6,1,39,57
Original,6,1,40,82
Original,6,1,41,44
Original,6,1,42,38
Original,6,1,43,22
Original,6,1,44,13
Original,6,1,45,69
Original,6,1,46,50
Original,6,1,47,64
Original,6,1,48,5
Original,6,1,49,10
Original,6,1,50,66
Original,6,1,51,94
Original,6,1,52,40
Original,6,1,53,50
Original,6,1,54,244
Original,6,1,55,9
Original,6,1,56,87
Original,6,1,57,37
Original,6,1,58,9
Original,6,1,59,55
Original,6,1,60,61
Original,6,1,61,11
Original,6,1,62,33
Original,6,1,63,146
Original,6,1,64,57
Original,6,1,65,76
Original,6,1,66,22
Original,6,1,67,46
Original,6,1,68,68
Original,6,1,69,61
Original,6,1,70,76
Original,6,1,71,83
Original,6,1,72,49
Original,6,1,73,44
Original,6,1,74,36
Original,6,1,75,62
Original,6,1,76,82
Original,6,1,77,21
Original,6,1,78,64
Original,6,1,79,40
Original,6,1,80,91
Original,6,1,81,56
Original,6,1,82,5
Original,6,1,83,122
Original,6,1,84,69
Original,6,1,85,9
Original,6,1,86,35
Original,6,1,87,86
Original,6,1,88,68
Original,6,1,89,62
Original,6,1,90,11
Original,6,1,91,7
Original,6,1,92,75
Original,6,1,93,71
Original,6,1,94,36
Original,6,1,95,41
Original,7,1,0,22
Original,7,1,1,68
Original,7,1,2,60
Original,7,1,3,62
Original,7,1,4,5
Original,7,1,5,63
Original,7,1,6,57
Original,7,1,7,78
Original,7,1,8,36
Original,7,1,9,3
Original,7,1,10,50
Original,7,1,11,241
Original,7,1,12,13
Original,7,1,13,33
Original,7,1,14,45
Original,7,1,15,45
Original,7,1,16,40
Original,7,1,17,84
Original,7,1,18,4
Original,7,1,19,69
Original,7,1,20,48
Original,7,1,21,35
Original,7,1,22,3
Original,7,1,23,70
Original,7,1,24,43
Original,7,1,25,64
Original,7,1,26,59
Original,7,1,27,43
Original,7,1,28,2
Original,7,1,29,48
Original,7,1,30,43
Original,7,1,31,64
Original,7,1,32,37
Original,7,1,33,43
Original,7,1,34,58
Original,7,1,35,35
Original,7,1,36,4
Original,7,1,37,68
Original,7,1,38,20
Original,7,1,39,45
Original,7,1,40,4
Original,7,1,41,72
Original,7,1,42,37
Original,7,1,43,52
Original,7,1,44,136
Original,7,1,45,25
Original,7,1,46,39
Original,7,1,47,58
Original,7,1,48,76
Original,7,1,49,70
Original,7,1,50,90
Original,7,1,51,15
Original,7,1,52,106
Original,7,1,53,4
Original,7,1,54,36
Original,7,1,55,49
Original,7,1,56,9
Original,7,1,57,35
Original,7,1,58,54
