configuration,block,minimum_effective_levels,median_effective_levels,fraction_at_most_16
Original,1,1,8.0,0.59375
Original,2,1,10.0,0.5625
Original,3,2,6.0,0.8541666666666666
Original,4,3,37.5,0.2708333333333333
Original,5,1,8.5,0.6666666666666666
Original,6,3,49.5,0.19791666666666666
Original,7,1,47.0,0.2109375
g8_4_4,1,86,172.0,0.0
g8_4_4,2,37,111.0,0.0
g8_4_4,3,2,6.0,0.8541666666666666
g8_4_4,4,3,37.5,0.2708333333333333
g8_4_4,5,25,132.5,0.0
g8_4_4,6,3,49.5,0.19791666666666666
g8_4_4,7,1,47.0,0.2109375
g8_4_4 + b3_g4,1,86,172.0,0.0
g8_4_4 + b3_g4,2,37,111.0,0.0
g8_4_4 + b3_g4,3,9,137.0,0.10416666666666667
g8_4_4 + b3_g4,4,3,37.5,0.2708333333333333
g8_4_4 + b3_g4,5,25,132.5,0.0
g8_4_4 + b3_g4,6,3,49.5,0.19791666666666666
g8_4_4 + b3_g4,7,1,47.0,0.2109375
