real/predita,Aglais_Urticae,Anthocharis_Cardamines,Apatura_Iris,Argynnis_Paphia,Colias_Myrmidone,Gonepteryx_Rhamni,Inachis_Io,Iphiclides_Podalirius,Lycaena_Virgaureae,Lycaenidae,Maniola_Jurtina,Melanargia_Galathea,Nymphalis_Antiopa,Papilio_Machaon,Parnassius_Apollo,Pieris_Rapae,Polygonia_C-album,Vanessa_Atalanta,Vanessa_Cardui,Zerynthia_Polyxena
Aglais_Urticae,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Anthocharis_Cardamines,0,37,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0
Apatura_Iris,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argynnis_Paphia,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Colias_Myrmidone,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonepteryx_Rhamni,0,1,0,0,0,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Inachis_Io,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Iphiclides_Podalirius,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
Lycaena_Virgaureae,0,1,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,1,0,0
Lycaenidae,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
Maniola_Jurtina,0,0,1,0,1,0,3,0,0,2,31,0,0,0,0,3,0,0,0,0
Melanargia_Galathea,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,1
Nymphalis_Antiopa,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0
Papilio_Machaon,0,0,0,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0
Parnassius_Apollo,0,0,0,0,0,0,0,1,0,1,0,0,0,1,26,1,0,0,0,1
Pieris_Rapae,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0
Polygonia_C-album,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,3,1
Vanessa_Atalanta,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,41,2,1
Vanessa_Cardui,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,28,1
Zerynthia_Polyxena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
