experiment,group_counts,grouped_blocks,total_branches,extra_branches,fp32_top1_agreement,fp32_accuracy_delta,fp32_maximum_logit_error,fp32_equivalence_passed,status,validation_fp32_accuracy,validation_int8_accuracy,validation_int8_macro_f1,validation_gain_over_original_int8,size_bytes,operator_count,add_operator_count,strict_full_int8,esp32_compatible,unsupported_operators,unsupported_operator_versions,pareto_efficient,accuracy_delta_from_best,accuracy_delta_from_target_pp,correct_predictions_delta_from_target
g8_4_4_b3_g4,"{""1"": 8, ""2"": 4, ""3"": 4, ""5"": 4}",4,20,16,0.9984567761421204,0.0015432238578796387,0.03953838348388672,True,ok,0.9737654320987654,0.9552469135802469,0.954198835293622,0.8472222222222222,1868496,812,82,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",True,0.0,5.864197530864201,38
g8_4_4_b7_g8,"{""1"": 8, ""2"": 4, ""5"": 4, ""7"": 8}",4,24,20,0.9984567761421204,0.0015432238578796387,0.0440065860748291,True,ok,0.9737654320987654,0.9012345679012346,0.9016182972742641,0.7932098765432098,1920440,851,86,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",False,-0.054012345679012363,0.462962962962965,3
g8_4_8,"{""1"": 8, ""2"": 4, ""5"": 8}",3,20,17,0.9984567761421204,0.0015432238578796387,0.04141831398010254,True,ok,0.9737654320987654,0.9012345679012346,0.8990859486537215,0.7932098765432098,1885928,824,83,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",False,-0.054012345679012363,0.462962962962965,3
g4_4_4,"{""1"": 4, ""2"": 4, ""5"": 4}",3,12,9,0.9984567761421204,0.0015432238578796387,0.04356193542480469,True,ok,0.9737654320987654,0.8981481481481481,0.8952397695606422,0.7901234567901234,1808008,756,75,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",True,-0.0570987654320988,0.15432098765432167,1
g8_4_4,"{""1"": 8, ""2"": 4, ""5"": 4}",3,16,13,0.9984567761421204,0.0015432238578796387,0.03705859184265137,True,ok,0.9737654320987654,0.8966049382716049,0.8958662171686409,0.7885802469135802,1843720,788,79,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",False,-0.058641975308642014,0.0,0
g8_4_2,"{""1"": 8, ""2"": 4, ""5"": 2}",3,14,11,0.9984567761421204,0.0015432238578796387,0.04329061508178711,True,ok,0.9737654320987654,0.8950617283950617,0.8930081883897163,0.787037037037037,1822624,770,77,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",False,-0.06018518518518523,-0.15432098765432167,-1
g8_2_4,"{""1"": 8, ""2"": 2, ""5"": 4}",3,14,11,0.9984567761421204,0.0015432238578796387,0.039525747299194336,True,ok,0.9737654320987654,0.8950617283950617,0.8954126683156485,0.787037037037037,1824336,770,77,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",False,-0.06018518518518523,-0.15432098765432167,-1
g8_8_4,"{""1"": 8, ""2"": 8, ""5"": 4}",3,20,17,0.9984567761421204,0.0015432238578796387,0.040244102478027344,True,ok,0.9737654320987654,0.8935185185185185,0.8926421817329018,0.7854938271604938,1882808,824,83,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",False,-0.06172839506172845,-0.30864197530864335,-2
g8_8_8,"{""1"": 8, ""2"": 8, ""5"": 8}",3,24,21,0.9984567761421204,0.0015432238578796387,0.04262542724609375,True,ok,0.9737654320987654,0.8873456790123457,0.8859938350653597,0.779320987654321,1925016,860,87,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",False,-0.0679012345679012,-0.9259259259259189,-6
b2_g4_b5_g4,"{""2"": 4, ""5"": 4}",2,8,6,0.9984567761421204,0.0015432238578796387,0.03634381294250488,True,ok,0.9737654320987654,0.7283950617283951,0.7089392561795658,0.6203703703703703,1783680,732,72,True,False,"[""BATCH_MATMUL""]","[[""BATCH_MATMUL"", 1]]",True,-0.22685185185185186,-16.820987654320984,-109
