block,group,channels,channel_count,minimum_scale,maximum_scale,scale_ratio
1,0,"[31, 7, 17, 24]",4,0.0006616652244701982,0.0015172100393101573,2.293017625808716
1,1,"[28, 30, 1, 21]",4,0.0015540265012532473,0.00312948995269835,2.013794422149658
1,2,"[5, 9, 4, 3]",4,0.0031887213699519634,0.00461433082818985,1.4470787048339844
1,3,"[11, 6, 13, 8]",4,0.0046932874247431755,0.0063217938877642155,1.3469862937927246
1,4,"[25, 18, 16, 19]",4,0.006586004048585892,0.014096923172473907,2.1404364109039307
1,5,"[26, 2, 20, 0]",4,0.02298792265355587,0.037502311170101166,1.6313918828964233
1,6,"[22, 14, 27, 23]",4,0.04118280112743378,0.0602562353014946,1.4631407260894775
1,7,"[15, 10, 29, 12]",4,0.0742029994726181,0.21676690876483917,2.9212687015533447
5,0,"[13, 35, 14, 11, 0, 25, 3, 41, 4, 9, 5, 7]",12,0.0006133901188150048,0.001922815921716392,3.1347358226776123
5,1,"[28, 17, 12, 21, 22, 47, 2, 44, 30, 36, 32, 16]",12,0.0020359004847705364,0.005694960709661245,2.7972686290740967
5,2,"[15, 18, 33, 8, 42, 24, 40, 46, 31, 26, 38, 27]",12,0.006485286168754101,0.01446012407541275,2.2296817302703857
5,3,"[45, 37, 6, 10, 23, 39, 20, 29, 19, 1, 43, 34]",12,0.018928097561001778,0.1950584203004837,10.305231094360352
