block,group,channels,channel_count,minimum_scale,maximum_scale,scale_ratio
1,0,"[31, 7, 17, 24]",4,0.0006616652244701982,0.0015172100393101573,2.293017625808716
1,1,"[28, 30, 1, 21]",4,0.0015540265012532473,0.00312948995269835,2.013794422149658
1,2,"[5, 9, 4, 3]",4,0.0031887213699519634,0.00461433082818985,1.4470787048339844
1,3,"[11, 6, 13, 8]",4,0.0046932874247431755,0.0063217938877642155,1.3469862937927246
1,4,"[25, 18, 16, 19]",4,0.006586004048585892,0.014096923172473907,2.1404364109039307
1,5,"[26, 2, 20, 0]",4,0.02298792265355587,0.037502311170101166,1.6313918828964233
1,6,"[22, 14, 27, 23]",4,0.04118280112743378,0.0602562353014946,1.4631407260894775
1,7,"[15, 10, 29, 12]",4,0.0742029994726181,0.21676690876483917,2.9212687015533447
2,0,"[28, 9, 29, 11, 24, 14, 25, 0]",8,0.0005869970773346722,0.00408906489610672,6.966073513031006
2,1,"[13, 31, 10, 2, 5, 27, 17, 3]",8,0.00525879580527544,0.015451508574187756,2.9382219314575195
2,2,"[7, 16, 15, 12, 26, 1, 23, 22]",8,0.022210977971553802,0.14468708634376526,6.514214992523193
2,3,"[18, 20, 6, 21, 8, 30, 19, 4]",8,0.17137937247753143,0.5132473707199097,2.994802474975586
5,0,"[13, 35, 14, 11, 0, 25, 3, 41, 4, 9, 5, 7]",12,0.0006133901188150048,0.001922815921716392,3.1347358226776123
5,1,"[28, 17, 12, 21, 22, 47, 2, 44, 30, 36, 32, 16]",12,0.0020359004847705364,0.005694960709661245,2.7972686290740967
5,2,"[15, 18, 33, 8, 42, 24, 40, 46, 31, 26, 38, 27]",12,0.006485286168754101,0.01446012407541275,2.2296817302703857
5,3,"[45, 37, 6, 10, 23, 39, 20, 29, 19, 1, 43, 34]",12,0.018928097561001778,0.1950584203004837,10.305231094360352
7,0,"[73, 66, 76, 75, 78, 109, 68, 28, 22, 9, 106, 119, 99, 64, 101, 63]",16,0.0001309725921601057,0.0006151067209430039,4.69645357131958
7,1,"[18, 107, 36, 53, 40, 4, 56, 79, 12, 127, 51, 38, 0, 45, 13, 69]",16,0.0008523986907675862,0.008211037144064903,9.63286018371582
7,2,"[67, 103, 57, 21, 35, 8, 91, 54, 122, 32, 42, 46, 16, 84, 70, 89]",16,0.008280507288873196,0.010338649153709412,1.248552680015564
7,3,"[72, 33, 30, 27, 94, 24, 92, 71, 104, 14, 15, 39, 88, 65, 110, 60]",16,0.010423551313579082,0.011602934449911118,1.1131459474563599
7,4,"[125, 105, 20, 29, 59, 55, 123, 121, 10, 115, 120, 93, 43, 90, 85, 58]",16,0.011669635772705078,0.01337992213666439,1.1465586423873901
7,5,"[77, 74, 6, 117, 98, 97, 34, 47, 112, 96, 26, 2, 108, 3, 5, 25]",16,0.013524379581212997,0.015946095809340477,1.1790629625320435
7,6,"[31, 86, 116, 95, 83, 118, 1, 37, 19, 80, 23, 49, 113, 41, 82, 81]",16,0.015985678881406784,0.018419893458485603,1.15227472782135
7,7,"[48, 87, 7, 126, 114, 17, 102, 50, 100, 61, 52, 124, 44, 111, 11, 62]",16,0.018799273297190666,0.06385926157236099,3.3969006538391113
