real/predita,Aglais_Urticae,Anthocharis_Cardamines,Apatura_Iris,Argynnis_Paphia,Colias_Myrmidone,Gonepteryx_Rhamni,Inachis_Io,Iphiclides_Podalirius,Lycaena_Virgaureae,Lycaenidae,Maniola_Jurtina,Melanargia_Galathea,Nymphalis_Antiopa,Papilio_Machaon,Parnassius_Apollo,Pieris_Rapae,Polygonia_C-album,Vanessa_Atalanta,Vanessa_Cardui,Zerynthia_Polyxena
Aglais_Urticae,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anthocharis_Cardamines,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Apatura_Iris,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argynnis_Paphia,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Colias_Myrmidone,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonepteryx_Rhamni,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Inachis_Io,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0
Iphiclides_Podalirius,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
Lycaena_Virgaureae,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0
Lycaenidae,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
Maniola_Jurtina,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0
Melanargia_Galathea,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
Nymphalis_Antiopa,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0
Papilio_Machaon,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0
Parnassius_Apollo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,1
Pieris_Rapae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
Polygonia_C-album,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0,1,0
Vanessa_Atalanta,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,1,0
Vanessa_Cardui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
Zerynthia_Polyxena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
